Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
Arizona Diamondbacks,51,28.6,5.43,144,5573,4904,782,1284,237,33,183,744,102,27,501,1121,0.262,0.335,0.436,0.771,114,2136,100,72,31,59,16,977
Atlanta Braves,54,29.2,4.24,144,5374,4856,610,1164,239,13,182,582,61,19,423,1313,0.24,0.305,0.407,0.712,97,1975,108,50,9,36,11,950
Baltimore Orioles,58,26.9,4.92,145,5524,4970,713,1241,238,31,212,686,87,24,442,1200,0.25,0.316,0.438,0.754,118,2177,64,61,6,40,12,988
Boston Red Sox,55,27.3,4.78,144,5523,4979,688,1278,280,29,181,664,128,38,436,1392,0.257,0.322,0.434,0.756,108,2159,93,63,6,37,25,997
Chicago Cubs,52,27.9,4.53,144,5426,4830,653,1158,234,26,151,616,131,26,479,1228,0.24,0.315,0.393,0.707,98,1897,71,66,14,36,17,970
Chicago White Sox,61,28,3.08,145,5235,4803,447,1062,209,8,115,428,84,28,351,1253,0.221,0.278,0.34,0.618,76,1632,109,38,17,24,7,897
Cincinnati Reds,60,27.1,4.43,145,5357,4778,642,1112,238,24,164,609,191,41,442,1318,0.233,0.306,0.396,0.702,92,1890,75,80,16,40,7,885
Cleveland Guardians,48,26.2,4.49,144,5322,4755,646,1132,219,16,166,609,136,39,423,1053,0.238,0.309,0.396,0.705,97,1881,103,85,16,39,28,879
Colorado Rockies,53,27.9, ,144,5373,4863,605,1179,246,22,157,580,75,29,404,1429,0.242,0.305,0.399,0.703,89,1940,109,47,16,39,18,927
Detroit Tigers,47,26.9,4.22,144,5360,4859,608,1135,219,40,147,586,73,20,409,1284,0.234,0.298,0.386,0.684,91,1875,80,49,3,34,10,924
Houston Astros,55,28.8,4.62,143,5402,4897,661,1280,230,15,170,631,84,23,390,1055,0.261,0.321,0.419,0.74,110,2050,118,62,10,41,19,966
Kansas City Royals,50,27.7,4.72,145,5352,4860,685,1230,247,31,160,666,116,29,373,1003,0.253,0.31,0.415,0.725,101,2019,80,47,21,49,20,877
Los Angeles Angels,62,27.3,3.94,144,5290,4740,567,1084,205,14,148,531,116,45,425,1229,0.229,0.301,0.372,0.672,87,1761,101,77,11,34,4,889
Los Angeles Dodgers,58,30.3,4.98,144,5539,4899,717,1244,260,24,196,697,110,22,525,1210,0.254,0.33,0.437,0.767,117,2140,85,55,10,45,29,1023
Miami Marlins,69,27.4,3.83,144,5345,4885,551,1178,212,18,133,530,111,36,350,1238,0.241,0.297,0.374,0.671,82,1825,109,52,22,33,14,930
Milwaukee Brewers,56,26.4,4.83,143,5463,4839,691,1209,219,28,160,658,187,39,535,1267,0.25,0.328,0.406,0.734,103,1964,90,45,11,28,15,993
Minnesota Twins,49,28.8,4.65,144,5428,4865,670,1211,278,22,171,635,63,22,419,1171,0.249,0.317,0.421,0.738,106,2046,105,90,8,44,10,956
New York Mets,58,30.1,4.75,144,5495,4914,684,1215,259,13,182,654,97,20,458,1237,0.247,0.32,0.416,0.736,109,2046,95,80,9,30,9,994
New York Yankees,54,28.1,5.07,144,5555,4853,730,1220,221,15,215,701,71,22,590,1157,0.251,0.334,0.436,0.77,115,2116,126,43,12,54,21,1015
Oakland Athletics,55,26.6,4.06,144,5355,4812,584,1126,211,17,182,561,85,25,445,1325,0.234,0.303,0.398,0.702,102,1917,94,49,15,34,11,944
Philadelphia Phillies,47,29.1,4.88,144,5515,4940,702,1279,255,22,173,671,132,25,470,1203,0.259,0.328,0.424,0.752,110,2097,101,55,9,39,20,1016
Pittsburgh Pirates,52,28.6,4.24,144,5431,4889,610,1151,210,16,142,588,96,16,431,1331,0.235,0.302,0.372,0.674,87,1819,88,53,16,41,14,986
San Diego Padres,47,28.9,4.76,145,5469,4943,690,1308,219,17,167,659,107,24,416,944,0.265,0.327,0.417,0.744,108,2062,125,53,25,28,18,954
Seattle Mariners,50,28.9,4.08,144,5358,4715,588,1032,200,12,161,558,121,26,505,1461,0.219,0.306,0.369,0.675,100,1739,96,100,11,25,10,964
San Francisco Giants,56,28.7,4.27,144,5402,4849,615,1161,237,27,153,587,61,21,450,1279,0.239,0.308,0.394,0.702,101,1911,100,49,9,44,15,975
St. Louis Cardinals,43,27.8,4.14,143,5398,4863,592,1199,221,16,147,562,82,25,417,1172,0.247,0.31,0.389,0.7,94,1893,76,52,17,41,9,1009
Tampa Bay Rays,54,27.3,3.85,144,5374,4805,555,1108,225,19,132,516,168,48,455,1325,0.231,0.305,0.368,0.673,92,1767,82,72,10,28,15,987
Texas Rangers,52,28.1,4.21,144,5380,4860,606,1161,199,14,151,579,81,23,438,1134,0.239,0.306,0.379,0.685,96,1841,87,47,6,29,19,967
Toronto Blue Jays,50,28.2,4.23,145,5420,4844,613,1170,259,21,148,585,65,14,451,1107,0.242,0.313,0.395,0.708,100,1915,113,70,12,40,15,975
Washington Nationals,49,26.6,4.22,143,5296,4754,604,1164,245,16,120,569,197,65,413,1066,0.245,0.312,0.379,0.691,97,1801,102,67,22,38,11,890
League Average,47,28,4.42,144,5411,4854,637,1182,232,21,162,608,107,29,442,1217,0.244,0.312,0.4,0.713,100,1943,96,61,13,38,15,957
,1420,28,4.42,4322,162334,145623,19109,35475,6971,619,4869,18242,3218,861,13266,36505,0.244,0.312,0.4,0.713,100,58291,2885,1829,400,1129,449,28704
