PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB,,
Arizona Diamondbacks,32,28.5,4.83,80,64,0.556,4.61,144,144,144,0,8,0,35,1283,1312,696,657,154,422,28,1127,53,6,48,5507,91,4.09,1.352,9.2,1.1,3,7.9,2.67,980
Atlanta Braves,30,31.5,3.8,78,66,0.542,3.51,144,144,142,2,14,1,37,1284.1,1157,547,501,133,402,16,1379,63,4,32,5343,119,3.46,1.214,8.1,0.9,2.8,9.7,3.43,965
Baltimore Orioles,33,29.6,4.34,82,63,0.566,3.96,145,145,145,0,9,0,43,1290.2,1177,629,568,154,427,9,1228,52,7,40,5447,95,3.93,1.243,8.2,1.1,3,8.6,2.88,960
Boston Red Sox,32,29.6,4.76,73,71,0.507,4.16,144,144,143,1,13,1,37,1290.2,1220,685,597,175,402,25,1211,68,4,46,5474,104,4.16,1.257,8.5,1.2,2.8,8.4,3.01,942
Chicago Cubs,33,29.3,4.12,74,70,0.514,3.74,144,144,143,1,8,0,32,1273,1146,594,529,152,430,6,1220,46,6,36,5363,110,3.94,1.238,8.1,1.1,3,8.6,2.84,962
Chicago White Sox,33,27.9,5.18,33,112,0.228,4.85,145,145,145,0,5,0,18,1266.2,1265,751,682,187,575,23,1207,49,12,52,5601,86,4.67,1.453,9,1.3,4.1,8.6,2.1,1066
Cincinnati Reds,31,29.2,4.3,70,75,0.483,4.08,145,145,145,0,6,0,32,1281,1158,624,581,172,439,12,1235,85,3,41,5438,107,4.22,1.247,8.1,1.2,3.1,8.7,2.81,981
Cleveland Guardians,29,27.8,3.99,82,62,0.569,3.81,144,144,144,0,10,0,48,1275,1104,574,540,171,440,11,1246,52,4,42,5296,110,4.13,1.211,7.8,1.2,3.1,8.8,2.83,912
Colorado Rockies,32,28.4,5.69,54,90,0.375,5.4,144,144,144,0,1,0,34,1267.2,1416,819,761,188,490,12,981,59,2,52,5601,86,4.86,1.504,10.1,1.3,3.5,7,2,1000
Detroit Tigers,25,28,4.07,73,71,0.507,3.69,144,144,144,0,8,0,35,1284,1144,586,526,142,376,11,1207,52,5,39,5328,113,3.74,1.184,8,1,2.6,8.5,3.21,914
Houston Astros,32,29.5,4.01,77,66,0.538,3.74,143,143,141,2,11,1,35,1268,1084,574,527,161,502,2,1303,54,8,44,5331,107,4.09,1.251,7.7,1.1,3.6,9.2,2.6,968
Kansas City Royals,31,29.1,4.1,79,66,0.545,3.91,145,145,143,2,8,0,37,1274.1,1190,594,554,134,417,17,1167,65,2,36,5379,109,3.85,1.261,8.4,0.9,2.9,8.2,2.8,969
Los Angeles Angels,39,29.1,4.78,60,84,0.417,4.46,144,144,144,0,6,0,34,1271.2,1144,688,630,170,530,24,1121,73,11,55,5423,97,4.58,1.316,8.1,1.2,3.8,7.9,2.12,936
Los Angeles Dodgers,37,29.7,4.19,86,58,0.597,3.86,144,144,143,1,12,1,45,1286.2,1135,604,552,180,432,18,1226,53,5,59,5369,103,4.22,1.218,7.9,1.3,3,8.6,2.84,926
Miami Marlins,43,27,5.17,54,90,0.375,4.73,144,144,143,1,7,1,27,1277.1,1270,744,671,168,498,16,1189,78,8,40,5570,95,4.38,1.384,8.9,1.2,3.5,8.4,2.39,1018
Milwaukee Brewers,36,29,3.9,82,61,0.573,3.59,143,143,143,0,12,0,46,1277,1131,557,509,175,432,23,1189,57,10,36,5351,118,4.25,1.224,8,1.2,3,8.4,2.75,983
Minnesota Twins,31,28,4.42,76,68,0.528,4.19,144,144,143,1,8,0,40,1273.2,1145,636,593,164,367,9,1296,62,5,41,5334,100,3.83,1.187,8.1,1.2,2.6,9.2,3.53,892
New York Mets,36,31,4.34,79,65,0.549,3.97,144,144,143,1,7,1,36,1285.2,1102,625,567,151,530,6,1289,89,8,57,5444,99,4.15,1.269,7.7,1.1,3.7,9,2.43,982
New York Yankees,33,30.1,4.18,83,61,0.576,3.8,144,144,144,0,13,0,38,1286.2,1137,602,543,161,473,6,1280,79,11,34,5451,110,4.1,1.251,8,1.1,3.3,9,2.71,1008
Oakland Athletics,32,28.6,4.71,62,82,0.431,4.35,144,144,143,1,11,1,30,1276.1,1213,678,617,146,479,29,1134,84,7,56,5464,92,4.2,1.326,8.6,1,3.4,8,2.37,978
Philadelphia Phillies,28,29.5,4.06,86,58,0.597,3.72,144,144,139,5,14,4,34,1287.1,1174,584,532,160,383,8,1274,53,4,45,5363,110,3.83,1.209,8.2,1.1,2.7,8.9,3.33,939
Pittsburgh Pirates,30,27.5,4.58,68,76,0.472,4.15,144,144,143,1,11,0,35,1282.2,1237,659,592,152,447,14,1203,77,8,35,5490,101,4.07,1.313,8.7,1.1,3.1,8.4,2.69,1005
San Diego Padres,26,28.6,4.28,81,64,0.559,4.02,145,145,144,1,12,1,36,1287.1,1184,620,575,156,418,14,1311,56,4,55,5414,102,3.82,1.244,8.3,1.1,2.9,9.2,3.14,942
Seattle Mariners,28,27.8,3.76,73,71,0.507,3.51,144,144,143,1,13,0,30,1270.1,1047,542,495,161,328,15,1251,48,4,32,5147,106,3.74,1.082,7.4,1.1,2.3,8.9,3.81,809
San Francisco Giants,29,27.3,4.42,71,73,0.493,4.2,144,144,142,2,8,2,31,1272,1192,637,594,144,464,9,1274,65,5,43,5402,94,3.9,1.302,8.4,1,3.3,9,2.75,965
St. Louis Cardinals,25,30.9,4.58,72,71,0.503,4.18,143,143,143,0,8,0,48,1275.2,1209,655,592,160,410,13,1153,38,4,40,5360,102,4.06,1.269,8.5,1.1,2.9,8.1,2.81,900
